id,language,clean_text,task1,task2,emotion
4398,es,puede ser aunq cuando la otra persona se le ve est dispuesta cambiar uno por ese amor que tiene tuvo lo entiende mira ver qu pasael amor es comprender quizs que esa persona no est en su mejor momento an as saber que es un buen hombre que necesita una mano,non-sexist,non-sexist,joy
4399,es,un exabogado de una formacin poltica que al hacer una investigacin interna ha sido despedido improcedentemente acusado falsamente de acoso sexual,non-sexist,non-sexist,fear
4400,es,problema del invierno estar grados es que si la ultima vez fuiste al supermercado se te olvido el jabn de fregar te tienes que poner un monton de ropa para cruzar dos cuadras comprarlo para no se te queden las ollas sucias,non-sexist,non-sexist,fear
4401,es,me acuerdo que me dijeron no diga ni haga nada mientras uno de ellos buscaba donde dejar la moto me dijo el otro usted subase de inmediato este carro no diga nada no haga nada somos de la polica nacional haga caso yo como mujer obediente hice caso,non-sexist,non-sexist,joy
4402,es,si de desear se trata le pido saque sus manos mugrosas proceso legal llevamos el ya no les importo violar lo menos no sigan corrompiendo la ese fraudalento no nos va no es un dese es una promesa,non-sexist,non-sexist,fear
4403,es,yo si me echa una manita fregar la loza lo agradezco la verdad,non-sexist,non-sexist,joy
4404,es,ya fueron sentenciados condenados al pago de un astreinte aparte de la accin de amparo el lunes someter por violar ciertas disposiciones legales cansado que me tienen con sus abusos yo los ignoraba no tengo tiempo para esos asuntos administrativos disc,non-sexist,non-sexist,anger
4405,es,el comentario de abajo del comentario de la chica tiene covid qued,non-sexist,non-sexist,joy
4406,es,amo smash porque le puedo pegar las mujeres,sexist,misogyny-non-sexual-violence,anger
4407,es,mi coronel para sumerced todos los suyos una feliz navidad mucha salud prosperidad infinita dios todopoderoso sabe que es un buen hombre lo que tanto necesita nuestra patria,non-sexist,non-sexist,joy
4408,es,me entristece ver que el ser humano sea capaz de semejante salvajadahubo un tiempohace miles de aos en que el hombre cazaba por necesidadpero ahora no entiendo lo de exterminar animales en masasencillo la naturaleza necesita al hombre es al revs,non-sexist,non-sexist,fear
4409,es,jaja no os pasa partir de los aos das os converts en el puto joker da que pensar metoo,non-sexist,non-sexist,joy
4410,es,pues en el momento en que el comenz sodomizar al pueblo con su politiquera mentirosa,non-sexist,non-sexist,anger
4411,es,si como no vas tener miedo si se te viene un hombre encima adems ante un hecho de violencia de gnero tienen que actuar no van dejar que el violento ataquehay gente tan desagradecidavos has actuado bien cuando pudiste los ayudaste,non-sexist,non-sexist,anger
4412,es,dentro de los primeros meses es completamente aceptable porque la mujer es libre de decidir sobre su cuerpo su vida ya cuando tienen meses de gestacin ni siquiera hablaramos de un aborto sino de un parto inducido,non-sexist,non-sexist,joy
4413,es,si el rechazo puede hacer mucho dao al hombre sobretodo en edades tempranas cuando la mayora an creemos que ustedes las mujeres son capaces de sentir amor,sexist,stereotyping-dominance,joy
4414,es,serio alguien cree que el tema de la pirotecnia tiene que ver con ser polticamente correctosafecta los nios con autismo personas con sensibilidad auditiva los animalesdivirtanse sin fregar al resto rato basta no creen noalapirotecnia,non-sexist,non-sexist,fear
4415,es,hjoles esta foto es una violacin mi intimidad,non-sexist,non-sexist,fear
4416,es,pero que cosa fea los caramelos filmpaff,non-sexist,non-sexist,anger
4417,es,mochilera si tu fea,non-sexist,non-sexist,anger
4418,es,jorge jorge que se qued como primer finalista de milagro que si el pblico en vez del le llega dar un un se queda fuera pasaba primera cristina que es lo que merece,non-sexist,non-sexist,joy
4419,es,veo sus fotos en tetas de ayer mientras yo tuve que vestirme de reno taparme porque hacen,sexist,objectification,fear
4420,es,quiero lamerte las tetas apretarlas chupar tus pezones duros mientras te masturbo el coito hasta correrte,sexist,sexual-violence,fear
4421,es,nacimiento de otra nacinm da sin mujeres por,non-sexist,non-sexist,fear
4422,es,pobre prensa reprimida jajajaja,non-sexist,non-sexist,anger
4423,es,alcalde ver ustedes pueden reunir personas en un lugar cerrado no pasa nada ahora las personas no van poder salir coje oficio hombre deja de estar diciendo tanta pendejada ya las personas tienen vacaciones listas el sistema hotelero las necesita,non-sexist,non-sexist,joy
4424,es,esta sra ganas cagar asco tia se vaya con el gorrino coletas solo verle la boca tiene una pinta guarra,sexist,misogyny-non-sexual-violence,joy
4425,es,la emborrachamos que se la cojan que segn yo tengo entendido es violaciny sus programas tienen de mil vistas en un estado que lidera nivel nacional denuncias por violacin sexual esto no esta bien por donde quieran que lo miren,sexist,sexual-violence,fear
4426,es,bien lo que yo te pidaestrecha el cuerpo impropio comenzando llenar su mejilla de pequeos besos realmente quiere saber cmo se siente actuar de aquella forma,non-sexist,non-sexist,anger
4427,es,nunca ests fea,non-sexist,non-sexist,fear
4428,es,me escribi una chica por ig tons le pregunto que si nos conocemos me responde que si por wattpad,non-sexist,non-sexist,anger
4429,es,pero vaya puta barbaridad de captulo vaya cojonazos que tiene luffy loco qu hablas haca un poco de tiempo que no me hypeaba con one piece as,non-sexist,non-sexist,anger
4430,es,frente una visin mojigata prefiero poner en valor usted lo nico que pone en valor es evidenciar su ignorancia ha ledo usted ratzinger por no irme mucho atrs en el tiempo para entender la mariologa catlica comprender la importancia que se le da mara,non-sexist,non-sexist,joy
4431,es,cudense soldadosas son todas las mujeres de hoy en da sin excepcionesniunomenos,sexist,ideological-inequality,fear
4432,es,que se haga sodomizar ese boludo,non-sexist,non-sexist,fear
4433,es,existe el libre albedro que lo ejercen los pensantesconsuela saber que un hombre de verdad no necesita de semejante imbecilidad no se rebajara voluntariamente un adoctrinamiento para deficientes mentalesde seguro que el de todos los participantes no lega,non-sexist,non-sexist,joy
4434,es,importante la participacin de las mujeres en la poltica mexicana cuando se vuelve irrelevante es cuando ponen gente incompetente como todos los de la corruptas como irma erndira roci nahle citlalli hernndez felipa obrador ana guevara no deberan presumirse,non-sexist,non-sexist,joy
4435,es,cuanto complejo en estas palabras que mente tan estrecha tienen los morenistas imposible debatir,non-sexist,non-sexist,fear
4436,es,quiz tengas la mente estrecha,non-sexist,non-sexist,fear
4437,es,odio las mujeres,sexist,misogyny-non-sexual-violence,anger
4438,es,estamos contigo dany yositecreo niunamas,non-sexist,non-sexist,fear
4439,es,puro mansplaining no pedido jajajajaja,non-sexist,non-sexist,anger
4440,es,pobres de espritu que ni fe llegan irnicamente me acorde de ste comercial que les viene como anillo al dedo el desprecio por la igualdad entre los seres humanos los vuelve locos,non-sexist,non-sexist,joy
4441,es,ya entend cuando el deca que eramos de mente estrecha cerrada ya entend por que el otro quera llamarse karma ya todo tiene tanto sentido ya saben,non-sexist,non-sexist,joy
4442,es,neta como me emperra quererme meter un clan rpido para cuando pasen los pinches barquitos ya mejor me salgo una perra mamada eso,non-sexist,non-sexist,joy
4443,es,lo mejor de ha sido la cantidad de gente me ha empezado sudar la polla,non-sexist,non-sexist,joy
4444,es,la perra esta jugando con una cucaracha no se si ir matarla es su amiguita,non-sexist,non-sexist,joy
4445,es,salgan ganar hijo de las mil putas,non-sexist,non-sexist,joy
4446,es,te amooo millll sanem demetzdemir la mujer de las mil una caras cul de ellas bella histrinica totalmente verstil camalenica nadie como ella cambia de registro en segundos shapeau,non-sexist,non-sexist,joy
4447,es,no te voy mentir la university se merece un puesto,non-sexist,non-sexist,anger
4448,es,jajajajaja yo respeto pero yo no me promociono as no soy mojigata nononono pero la neta del planeta esos rollos no me gustan,non-sexist,non-sexist,joy
4449,es,tal vez los que dicen que no van cambiar su voto deberan pensar en el bien de las mujeres que mueren por abortos clandestinos habraconsecuencias,non-sexist,non-sexist,fear
4450,es,una poltica educativa en la se refuerce el concepto de la igualdad de oportunidades entre muchos mbitos de la sociedad urge sea en diferentes mediosdebemos aprender muxas cosas desde el colegio desde la oportunidad de compartir nuestras diferencias hacia la igualdad,non-sexist,non-sexist,joy
4451,es,le falt darle una patada en el culo la niata sta,sexist,misogyny-non-sexual-violence,fear
4452,es,la placidez de una maana de calor en el campo lamanada elespinillo,non-sexist,non-sexist,fear
4453,es,una mujer sumisa,sexist,stereotyping-dominance,fear
4454,es,no slo estudi la lenguage por un ao cuatro aos con un grado tambin dnde han ido todos los hombres buenos oy,non-sexist,non-sexist,fear
4455,es,tenemos una dos cincuenta cervezas con turra pendientes de un concierto que compartir me pareces un to de puta madre me gustara llevarme,non-sexist,non-sexist,joy
4456,es,hoy extra mucho mi madre que dios tenga en su gloria diadelosinocentes como gozaba ella desde se paraba de la cama empezando con el caf con sal hubo ao no me pudo fregar con el caf pues se la ingenio me hizo una que no la estrangule era mi madre fanespueblo,non-sexist,non-sexist,joy
4457,es,maana lo hago que ahora son la puta de la maana,non-sexist,non-sexist,fear
4458,es,muy bien dicho aunque para defender los derechos de los trabajadores se crearon los sindicatos una pena que estn llenos de gentuzas miran por su culoespero mejore vuestra situacin,non-sexist,non-sexist,joy
4459,es,gracias por fin pudimos saber dnde est nuestra juntas en miamicudense mucho chicas descanso shopping,non-sexist,non-sexist,joy
4460,es,mi chica,non-sexist,non-sexist,anger
4461,es,aos despus sigo preguntndome quin puta te pidi tu opinin,non-sexist,non-sexist,fear
4462,es,me quiero morir de una puta vez,non-sexist,non-sexist,joy
4463,es,psame mi indirecta de una puta vez me pareces tan bien chico bro pero no se por que tu actitud siendo va traer problemas,non-sexist,non-sexist,fear
4464,es,me suena una vida llena de insatisfacciones de una vida reprimida,non-sexist,non-sexist,anger
4465,es,justificando la violencia contra las mujeres eh pues bueno tu tweet destila odio las mujeres as que supongo que si te veo por la calle podr partirte la cara estar totalmente justificado segn tu claro,non-sexist,non-sexist,anger
4466,es,me encantaria conocerte me pareces una tia de puta madre pero nonte quiero hablar al sin permiso por cierto tirame al yo siempre estoy dispuesta hablar con gente divertida,non-sexist,non-sexist,joy
4467,es,lo mejor de julizdg son mis clientes parte mil una chica quiere nombres en vinilo dorado para los vasos del cumple de la hija temtica nannnna quiero ser la nena,non-sexist,non-sexist,joy
4468,es,para reconocer los errores se necesita ser no un cobardematoncito como lopezelpeorpresidentedelmundo,non-sexist,non-sexist,fear
4469,es,ya recuperamos el color amarillo luego de sodomizar al en maana vamos recuperar el celeste abortolegal seralay eshoysenado esahorasenado,non-sexist,non-sexist,anger
4470,es,tengo la siguiente contradiccin estoy favor de que los hombres puedan hablar de feminismo pero me hace mucho ruido escuchar los hombres del congreso opinar qu debemos hacer con nuestros cuerpos,non-sexist,non-sexist,joy
4471,es,yo me pregunto cmo un hospital premiado este ao por su calidad no es capaz de avisar que le hacen la una mujer dependiente de su familia para las mayor de teniendo en cuenta que para movilizar la necesitamos ser personas,non-sexist,non-sexist,fear
4472,es,hizo un curso intensivo de como desequilibrarme que putas,non-sexist,non-sexist,anger
4473,es,nada que replique escenarios de violencia que rena personas en torno al delito el consumo de drogas merece ser identidad cultural de la ciudad mientras esa prctica no cambie seguir siendo algo que caracteriza sectores poblacionales pero sin trascendencia histrica,non-sexist,non-sexist,fear
4474,es,alguien sabe si mando asu mujer ponerle el cuerno este pobre sujeto de pensamiento complot,non-sexist,non-sexist,fear
4475,es,punto de empezar la clase de yoga por si an no te has conectadosi ellos son los yoguis valiendo madre cada que compro un tapete termina igualperritos perrita lamanada adhomukhasvanasana,non-sexist,non-sexist,joy
4476,es,buenas seorita yo tambin estuve como usted sin nada ni de donde sacar para mis necesidades hoy en da recibo dlares al mes solo con una que me cambi por completo solo es instalarla registrar se por eso le paga te invito que la uses con migo,non-sexist,non-sexist,joy
4477,es,estoy muy contento por todas las mujeres que conozco tendr que pasar por la clandestinidad si en algn momento decide interrumpir su embarazo sin duda alguna un da histrico para argentina sigo sin creerlo era hora,non-sexist,non-sexist,joy
4478,es,,non-sexist,non-sexist,fear
4479,es,sociedad mojigata envuelta en una moralidad que pretende ser duea de todo todos,non-sexist,non-sexist,joy
4480,es,opinion de incipiente desconstruccin del androcentrismo est permeando en la cultura pop travs de personajes como elsa mrida muln natasha romanoff estas producciones estn transformando los mensajes,non-sexist,non-sexist,joy
4481,es,eso sera una autntica pena perder un arma tan potencial como thablaba con extrema calma mira su reloj de nuevodos minutos seorita shaw va usarlos para algo interesante va seguir soltando amenazas sin sentido,non-sexist,non-sexist,joy
4482,es,es el feminismo desde sus inicios hasta ahora que las nuevas generaciones no se informen del movimiento est haciendo dao,non-sexist,non-sexist,fear
4483,es,lomsledoayer exseminaristas denuncian acoso abuso sexual de arzobispo,non-sexist,non-sexist,anger
4484,es,no saben quin es ese hombre uno de los hombres amados por las seoritasha ledo revistas de idols ok,non-sexist,non-sexist,joy
4485,es,esa distancia la realidad ha enfrentado los diversos protagonistas como parte de una estrategia del androcentrismo que entiende el poder como instrumento para la victoria sobre la limitacin de derechos los dems post de,non-sexist,non-sexist,joy
4486,es,ya son jvenes tcnicos asistentes en desarrollo de software del programa empleo para el empoderamiento jvenes en que hoy ponen en prctica sus conocimientos en programacin otras sapiencias iniciativa de,non-sexist,non-sexist,joy
4487,es,sabes tan bien como yo que es un camino sin retorno que el buen hombre empez recorrer hace tiempo,non-sexist,non-sexist,joy
4488,es,deje de fregar nadie esta obliga llegaron dieron lata ya son mil siguen dando lata usted deside espera la vacuna se apura comprar su ataud la desicion es suya,non-sexist,non-sexist,joy
4489,es,sii vi las noticias de mexico sobre cmo las mujeres tomaron un ministerio creo espero no estar equivocada en esos casos es completamente justificado aunque an as no me gusta pero no creo que sea algo que las personas deberan de cuestionar si no entienden las causas,non-sexist,non-sexist,joy
4490,es,que nunca nos falte la luzpa que veamosa quien de maana nos da buenos dasa quien no se da por vencido tu ladoy quienes compartentus llantos tus risas la luz pequeita que brilla en los faros la risa encendida de quienes nos aman,non-sexist,non-sexist,fear
4491,es,hoy estars conmigo en el paraso no dice por todos los hombres si no pro multis poema del hombre dios facilita con su informacin la eleccin correcta como yo le admiro usted se lo recomendar siempre,non-sexist,non-sexist,joy
4492,es,encuantran en buenos aires la pitn gorda del mundo,non-sexist,non-sexist,fear
4493,es,0,non-sexist,non-sexist,fear
4494,es,hombres cuales porque de los que hay los metes todos en una licuadora no sacas uno bueno,non-sexist,non-sexist,joy
4495,es,otra comunistafeminazi matar nios no es,sexist,ideological-inequality,anger
4496,es,,non-sexist,non-sexist,fear
4497,es,todas las mujeres son hermosas que seas un imbcil sin cerebro no es nuestra culpa,non-sexist,non-sexist,sadness
4498,es,creo que muchas de las personas en contra del aborto lo que tienen es una envidia reprimida ya que ellasos nunca pudieron considerarlo como opcin por lo escandoloso moralmente incorrecto del tema all de la legalidad,non-sexist,non-sexist,anger
4499,es,qu hombre no le gustara tener una mujer que busca el querer de dios que es prudente no se deja llevar por la ira que sabe escuchar que es obediente la voluntad divina esa fue mara modelo de toda esposa,sexist,stereotyping-dominance,joy
4500,es,los hombres blancos heterosexuales estn super reprimidos sufren de racismo hembrismo violados apaleados irona on que coo os pasa algunos hombres que os ensean injusticias en lo nico podis pensar es en vuestro culo de egoismo bien no,non-sexist,non-sexist,anger
4501,es,se os est viendo un poco el odio desprecio las mujeres,non-sexist,non-sexist,fear
4502,es,emocin hasta las lgrimas triunfo para cada una de las mujeresmenos para las que no nacernpara que nunca olvidemos como las ideologas pueden deshumanizar buenas personas hacindolas morir creyendo que asesinar pequeitos no es un delitosino un derecho,non-sexist,non-sexist,joy
4503,es,tu irresponsabilidad al volante tambin la pagamos todos con nuestros impuestos juicio moral siempre es contra la mujer harta hipocresia,non-sexist,non-sexist,anger
4504,es,intentaron asesinar dos mujeres cinco hombres nueve nios en lara,non-sexist,non-sexist,fear
4505,es,si llegue aqui con una nave espacial quieres verla azul es una buena chicapara lance era natural el ser tan abierto con el tema de votron los leonesas luego me enseas tu mundo,non-sexist,non-sexist,joy
4506,es,me pareces un excelente dibujante me caes mas que bien me pareces mas que un artista bueno sos un hijo de puta de primera pero por eso te quiero sos irreverente te importa todo una mierda no cambies gato waton,non-sexist,non-sexist,joy
4507,es,se est poniendo oo en fin de ao vers tu la vuelta la chulera reprimida,non-sexist,non-sexist,fear
4508,es,camisa de manga corta corbatina estrecha ho,non-sexist,non-sexist,anger
4509,es,la justicia de polica local es otra dimensin pero an en ella existe el respeto punto es otro va de la mano de entender bien la diferencia entre igualdad ante la ley que la autoridad por esencia al ejercer funcin pblica debe actuar desde un nivel distinto al resto,non-sexist,non-sexist,joy
4510,es,inadmisible que quieran consultar si otorgar derechos no obvio que no todas las mujeres recurriran ello pero no deben limitarse dichos derechos,non-sexist,non-sexist,fear
4511,es,hoy se cierra el ao es tu cumpleaos no poda ser otra que esta cancin tambin nos ha sabido amarga en ocasiones pero es que es tan brutal que cada nota cada letra est escrita de mi hacia ti te amo hasta el infinito mujer hoy siempre,non-sexist,non-sexist,anger
4512,es,peor es abusar violar de nios ah no los veo tan preocupados,non-sexist,non-sexist,anger
4513,es,casi me ausgo pero estoy vivo zorras,non-sexist,non-sexist,fear
4514,es,aqu hemos pensado lo mismo que el vestido era un delantal que slo para las tetas necesito dos,non-sexist,non-sexist,fear
4515,es,ajors mismo soy la versin fea del oso oanda,non-sexist,non-sexist,fear
4516,es,perdn hoy estoy muy perra para no mostrarlo,non-sexist,non-sexist,joy
4517,es,cllese perra porque la mato pero prefiero eso que estar sudando,sexist,misogyny-non-sexual-violence,joy
4518,es,que fea sensacion la de hablar con alguien como si fuera un total extrao,non-sexist,non-sexist,joy
4519,es,recuerden mutis no se llora por ningun hombre solo bangtan se merece nuestras lagrimas,non-sexist,non-sexist,joy
4520,es,hacws loco no toques mis putas cosas,non-sexist,non-sexist,fear
4521,es,mujer al volante peligro constante ahre mentira,sexist,stereotyping-dominance,fear
4522,es,la verde pauelera es una frgida anorgsmica resentida antipija antimacho antitodo,sexist,misogyny-non-sexual-violence,anger
4523,es,abogado hagalepues representar la rama judicial es lo qu necesita colombia un profesional serio en todo el sentido de la palabra un hombre valiente que se ha enfrentado de frente al clientelismo corrupto de este pas,non-sexist,non-sexist,anger
4524,es,hay das que nos levantamos enojados cansados sin ganas de hacer algo por eso les compartimos tips de como empezar un da con todo consejos para empezar bien el da,non-sexist,non-sexist,joy
4525,es,claramente eso es hipcrita contradecirse si mismo pero no por eso debes meter todos en el mismo saco solo busco que entiendas porque las mujeres nos sentimos as reaccionamos de esa forma cuando vemos gente idolatrar alguien que hizo tanto dao,non-sexist,non-sexist,joy
4526,es,lolazo pero si es el feminismo el que ha convertido en proeza cosas como ser mujer escritora cosa que por cierto est haciendo muchsimo dao las escritoras al no ser consideradas en categoras generales de literatura sino en literatura hecha por mujeres,sexist,ideological-inequality,joy
4527,es,animal nefasto la mujer al volante,sexist,stereotyping-dominance,fear
4528,es,cuando el esencialismo habla de realidad material se comporta exactamente como el androcentrismo la materia es solo lo que da vueltas en torno mi circunstancia la realidad material se compone solamente de aquello que reafirme mi corporalidad,non-sexist,non-sexist,fear
4529,es,cuentan algo de los campos de concentracin para homosexuales del che de su odio las mujeres,sexist,misogyny-non-sexual-violence,anger
4530,es,omar ayuso lo logra ya es chica almodvarel actor de lite omar ayuso comparte en instagram una foto en la que se traviste para ser una de las mujeres al borde de un ataque de nervios,non-sexist,non-sexist,joy
4531,es,mexicano tena que ser as quieren que uno tenga novia vyanse la ver,sexist,stereotyping-dominance,fear
4532,es,seoritas aos que no las como,sexist,sexual-violence,joy
4533,es,entonces sera hembrismo,sexist,ideological-inequality,fear
4534,es,eres una niata,sexist,stereotyping-dominance,anger
4535,es,fue humillante aun que todo el que es culpable tiene que pagar pero sin violar sus derechos por que entonces no estamos en nada,non-sexist,non-sexist,anger
4536,es,esto es empoderamiento femenino qu opinan feministas feministos,non-sexist,non-sexist,anger
4537,es,juan con todos mis respetos,non-sexist,non-sexist,joy
4538,es,quede sentada horas ahora ya no siento el culo,non-sexist,non-sexist,fear
4539,es,pues yo creo tiene sentido no te golpea por odio las mujeres te golpea porque tiene un conflicto exclusivamente contigo ahora bien independiente deo motivo no puedes pegar es como pegar tus padres porque te cabren hay ser tonto no hay motivos para pegar nadie,sexist,misogyny-non-sexual-violence,joy
4540,es,como soy una seorita no contestar como me viene la cabeza,non-sexist,non-sexist,joy
4541,es,todo por que su to segua haciendo bromas en su dolor por qu un hombre tan bueno no puede ser bien tratado hasta sus ltimos momentos la pregunta le invadi la mente se implant en ella como un virus sali de sus recuerdos cuando el viento comenz soplar fuerte en,non-sexist,non-sexist,fear
4542,es,imaginate viajando en subte ese manspreading se puede ver amiga,non-sexist,non-sexist,joy
4543,es,woouuque privilegioque la tengas aunregalo divinoadhiero al saludo de tu madreque se notaes una gran mujeragasajalaembriagate de sus cariosno sabes como se echa de menos cuando ya no estacarios disfrutensaludos,non-sexist,non-sexist,joy
4544,es,no he conseguido el agua de coco me la van conseguir las de la tarde si cuando vuelva no has fregado todo eso vas tener problemas que webonada esyo no quera fregar puesmi hermano cuando mi papa lo arrastr dentro del carro,non-sexist,non-sexist,fear
4545,es,la carta del victimismo otra vezno mams esta en la friendzone,non-sexist,non-sexist,sadness
4546,es,lamentable que los hombres sigan matando mujeres es que queremos seguir con la doble moral eduquemos los jvenes dicindole la verdad las mujeres hoy en da suelen tener algunas de una pareja porque mejor no le decimos los nios la verdad dejar de andar con rodeo,sexist,misogyny-non-sexual-violence,sadness
4547,es,ejemplo del diputado hngaro pillado en una orga homosexual revela que mucha gente est reprimida no revela sus gustos sexuales por el entorno por el que dirnpero mas repelente es sus burlas hacia otros cuando si muchos hablaran mas en sevilla,non-sexist,non-sexist,anger
4548,es,no terminabamos de dejar atrs el tiempo en que las mujeres deben llevar nombres masculinos para que su trabajo se considere como vlido vuelve ser moda lesbofobia,sexist,ideological-inequality,fear
4549,es,tus socios les pillaron de putas con drogas con dinero pblico en los prostibulos de media andaluca tu jefe prefiere azotar mujeres hasta que sangren nimo con la moral,sexist,misogyny-non-sexual-violence,joy
4550,es,miren la putamaraca zorra golfa,sexist,misogyny-non-sexual-violence,fear
4551,es,pintaelmundodenaranja das daactualmente aunque las voces de activistas sobrevivientes han llegado un punto en que no pueden ser silenciadas ignoradas el fin de la violencia contra las mujeres exigir inversin liderazgo medidas,non-sexist,non-sexist,anger
4552,es,lo peor que reconoce se est riendo de ellala mujer empoderada,sexist,misogyny-non-sexual-violence,fear
4553,es,tus dias malos te voy querer el triple,non-sexist,non-sexist,fear
4554,es,mi mam vi en que la reina isabell era lagartonayo tambien yo no era reptiliana algo asmam por esoo es lo mismoooo,non-sexist,non-sexist,joy
4555,es,la copa es mas atractiva que la hoy dialo que nunca pens decir,non-sexist,non-sexist,joy
4556,es,yo traiciono mi masculinismodesde hace rato cortndone los pelos de la nariz ltimamente los de las orejas tambin fracas,non-sexist,non-sexist,anger
4557,es,ya basta djate de hacerte el bueno agradezco mucho haberme pillado en esta poca para darme cuenta de lo que realmente soyy mentira si te dijese que no estoy orgullosa de ello hanzo soy una zorra una semidiosa qu hacen las deidades zorrunas tomar la energa,non-sexist,non-sexist,anger
4558,es,disfruta de las delicias sexuales de nuestras bellas seoritasven con nosotras no te arrepentirs de probar nuestros cuerpos calientes hmedos sensualesnenas,sexist,objectification,anger
4559,es,puedes beber drogarte sin cargarte la vida no hacerlo no te hace mejor siendo sincero bien que luego la gente se bebe litros de cocacola sea si el tema es por la salud me pareceis un poco hipcritas no lo haces porque no te sale de la polla eso esta bien,non-sexist,non-sexist,joy
4560,es,jaajjajjajjajjajja siiii la polla record,non-sexist,non-sexist,fear
4561,es,todas putas,sexist,misogyny-non-sexual-violence,joy
4562,es,esas tetas son perfectas,sexist,objectification,joy
4563,es,desde hace un par de semanas hablo con una chica por insta me estoy acostumbrando,non-sexist,non-sexist,joy
4564,es,que culo,sexist,objectification,anger
4565,es,otra pendeja que tilda todos de machistas mansplaining blablabla sigue inventando palabras amiga mia,sexist,ideological-inequality,anger
4566,es,mujer sumisa obediente respetuosa servicial,sexist,stereotyping-dominance,anger
4567,es,igual se te pones bajar en el hilo estaaba jodiendo cierta persona no me interesa opinar del masculinismo porque no lo conozco,non-sexist,non-sexist,joy
4568,es,este hilo metoo,non-sexist,non-sexist,joy
4569,es,cierto una ampliacin de la anterior ley todas luces insuficiente no veo el problema no pegar las mujeres ya est,non-sexist,non-sexist,fear
4570,es,qu vivan las castauelas las peinetas los mantillasno te has podido explicar mejor para gustos colores al que le guste un florero en vez de una mujer perfecto hay mercado para todos,non-sexist,non-sexist,joy
4571,es,ellos lo vieran como su protectorgrave error ahora la mayora de las mujeres negras tienen hijos para vivir gratisrecibir food stamptanketceso hace que nunca lleguen tener proyectos de vidani sus hijossobre todo los varonesmucha droga alcoholmuy tristeporque son,sexist,ideological-inequality,joy
4572,es,ah ni idea no conozco esa golfa,sexist,misogyny-non-sexual-violence,joy
4573,es,si fuera una mujer en vez de erwin seguros siendo lazo feudalvasallono romnticoisayama ya explic ese lazoy dijo que era como un caballerorey no es un lazo romnticoen cambio entre levi hanji no hay ese lazosu amor es libre es cannico que hanji iba vivir con levi,non-sexist,non-sexist,joy
4574,es,otto granados dijo que la modalidad de clases distancia en es atractiva los estudiantes manteniendo la concentracin en las clases impartidas fulcarpresidenteoei,non-sexist,non-sexist,joy
4575,es,que se dedique administrar su universidad engaando la poblacin universidad para eso es muy bueno no se meta fregar toda una nacin igual peor que los comunistasdespiertaper,non-sexist,non-sexist,joy
4576,es,gracias al feminismo la lucha constante de las mujeres por la bsqueda de igualdad equidad en lo poltico social econmico entre otros aspectos importantes se ha logrado un avance significativo aunque falta mucho por recorrer,non-sexist,non-sexist,joy
4577,es,merece estar pero el perro seria el perro,non-sexist,non-sexist,joy
4578,es,tienes muchos problemas en esta cuarentena clases trabajos materias resibiste de una estallada fea de tu mama unushi seor tiene canser de ano,non-sexist,non-sexist,fear
4579,es,horror el tipo no es mi dolo muy aparte de su pocision poltica deseo se recupere odiar alguien por piensa distinto no nos hace mejores personas aunque el tipo no sea el gran artista como ser humano merece respeto,non-sexist,non-sexist,fear
4580,es,hagamos trending copia los hashtags entre post alcance tieneaztecanoticas telemundonoticierostelevisatelediariopfpapoya gobiernodelestado yositecreo niunamenos guardianacionalniunamenosmenosveracruzmexicoeluniversal,non-sexist,non-sexist,joy
4581,es,qu hacemos entonces con despus de lo que dijo pablo iglesias sobre azotar una mujer hasta sangrar los consideramos todos unos agresores sexuales que van azotando mujeres por ah,sexist,ideological-inequality,anger
4582,es,pablito por fomentar el matrato las mujeres por el chat donde deca querer azotar hasta hacer sangrar una mujer,sexist,misogyny-non-sexual-violence,fear
4583,es,hoy quiero saludar con mucho respeto todas las personas discapacitadas en condicin de movilidad reducida en este da mundial dnde se les hace un homenaje hombres mujeres valientes que no se dejan amilanar por esta condicin estilo de vida feliz da,non-sexist,non-sexist,fear
4584,es,si el anonimato de twitter da esa falsa sensacin de calor empoderamiento por eso te mandan fotos de eso,non-sexist,non-sexist,fear
4585,es,siempre que hablo del termino discapacidad prefiero hablar de equidad que de igualdaddesde las naciones unidas el lema focaliza en el empoderamiento de las personas con discapacidad para asegurar un desarrollo sostenible inclusivo en igualdad de oportunidades,non-sexist,non-sexist,joy
4586,es,soylilith el secreto de los dedos que insisten perforo el sendero divulgo los sueos destruyo ciudades de hombres con mi diluvio no reno dos de cada especie para mi arca bien los transformo todos para que el sexo se purifique de toda pureza lilith cuernos,non-sexist,non-sexist,joy
4587,es,no estoy haciendo un trabajo sobre por qu el feminismo internacional es importante para el estudio de la historia para leer estas pendejas con compresin de nio de jardn decir tantas pelotudeces,non-sexist,non-sexist,joy
4588,es,soy padre de una nia con discapacidad tambin se muy bien el camino recorrido tuyo nada gratificante cuando uno los ve avanzar salir adelante como los propios guerreros ella es mi adoracin mi princesita,non-sexist,non-sexist,joy
4589,es,chiste no es ser mujer hombre sino estar bien preparado para ser un representante digno de mxico nos la sales debiendo,non-sexist,non-sexist,joy
4590,es,primero las vctimas no son supuestas segundo mandar mensajes haber tenido relacin con el agresor no es un eximente de responsabilidad tercero el acoso el abuso sexual no exigen estar en situacin de inferioridad por ultimo se puede denunciar en cualquier momento,non-sexist,non-sexist,anger
